fen,evaluation
2b1r1k1/3n1pp1/5n1p/4p3/1qp1PPP1/8/1PB2N1P/2BQR1K1 w - - 0 27,0
2b1r1k1/3n1pp1/5n1p/q3p3/1pp1PPP1/2P5/1PB2N1P/2BQR1K1 w - - 0 26,0
2b1r1k1/3n1pp1/5n1p/4pP2/1qp1P1P1/8/1PB2N1P/2BQR1K1 b - - 0 27,0
2b1r1k1/5pp1/5n1p/2n1pP2/1qp1P1PP/8/1PB2N2/2BQR1K1 b - - 0 28,0
2b2rk1/3nbpp1/3p1n1p/qpp1p3/3PPP2/1BP5/1PN2NPP/2BQR1K1 w - - 0 20,0
2b1r1k1/5pp1/5n1p/2n1pPP1/1q2P2P/2p5/1PB2N2/2BQR1K1 b - - 0 29,0
2b1r1k1/3n1pp1/3p1n1p/qp2p3/2pPPPP1/2P5/1PB2N1P/2BQR1K1 b - - 0 24,-29
2b1r1k1/5pp1/5n1p/2n1pP2/1qp1P1P1/8/1PB2N1P/2BQR1K1 w - - 1 28,0
2b1r1k1/5pp1/5n1p/2n1pP2/1q2P1PP/2p5/1PB2N2/2BQR1K1 w - - 0 29,49
2b1r1k1/5ppn/8/2n1pPP1/4P3/7R/5N2/2BB2K1 b - - 0 34,41
4r1k1/1b3ppn/8/2n1pPP1/4P3/7R/2B2N2/2B3K1 b - - 2 35,6
2b1r1k1/5ppn/8/2n1pPP1/4P3/7R/2B2N2/2Bq2K1 w - - 0 34,30
2b1r1k1/5ppn/8/2n1pPP1/3qP3/7R/2B2N2/2BQ2K1 b - - 3 33,12
r5k1/1b3ppn/8/2n1pPP1/4P3/7R/2B2N2/2B3K1 w - - 3 36,6
6k1/1b3ppP/8/2n1pP2/4P3/7R/2B2N2/r1B3K1 b - - 0 37,-216
3q4/2R2pbk/1pQ1p1pp/8/1P2P3/r7/3r1PPP/1BR3K1 w - - 6 32,-512
r5k1/1b3ppn/6P1/2n1pP2/4P3/7R/2B2N2/2B3K1 b - - 0 36,-38
7k/1b3ppP/8/2n1pP2/4P3/7R/2B2N2/r1B3K1 w - - 1 38,-180
4r1k1/1b3ppn/8/2n1pPP1/4P3/7R/5N2/2BB2K1 w - - 1 35,10
2b1r1k1/5ppn/8/2n1pPP1/4P3/2q1R3/2B2N2/2BQ2K1 b - - 1 32,110
2b1r1k1/5ppn/8/2n1pPP1/1q2P3/2P5/2B2N2/2BQR1K1 b - - 0 31,174
2b1r1k1/5ppn/8/2n1pPP1/3qP3/4R3/2B2N2/2BQ2K1 w - - 2 33,105
7k/1b3ppP/8/2n1pP2/4P3/2R5/2B2N2/2r3K1 w - - 0 39,-347
7k/5ppP/8/2n1pP2/4N3/2R5/2B4K/2r5 b - - 0 40,-367
7k/1b3ppP/8/2n1pP2/4P3/2R5/2B2N2/r1B3K1 b - - 2 38,-353
6k1/1b3ppn/6P1/2n1pP2/4P3/7R/2B2N2/r1B3K1 w - - 1 37,-14
2R5/5ppk/8/4pP2/4n3/8/2B4K/2r5 w - - 0 42,-386
2b1r1k1/5pp1/5n2/2n1pPp1/1q2P2P/2p5/1PB2N2/2BQR1K1 w - - 0 30,150
2R5/5p1k/5Pp1/4p3/4n3/8/2B4K/2r5 w - - 0 43,-257
2b1r1k1/5ppn/8/2n1pPP1/4P3/2q5/2B2N2/2BQR1K1 w - - 0 32,278
7k/1b3ppP/8/2n1pP2/4P3/2R5/2B2N1K/2r5 b - - 1 39,-391
8/2R2p1k/5Pp1/4p1n1/8/1B6/4r3/6K1 b - - 7 46,-323
7k/5ppP/8/4pP2/4n3/2R5/2B4K/2r5 w - - 0 41,-395
2R4k/5ppP/8/4pP2/4n3/8/2B4K/2r5 b - - 1 41,-389
2b1r1k1/5pp1/5n2/2n1pPP1/1q2P3/2p5/1PB2N2/2BQR1K1 b - - 0 30,190
8/2R2B2/5Ppk/4p1n1/8/8/4r3/6K1 b - - 0 47,-374
8/2R2n2/5Ppk/4p3/8/8/4r3/6K1 w - - 0 48,-396
2R5/5ppk/5P2/4p3/4n3/8/2B4K/2r5 b - - 0 42,-372
2R5/5p1k/5Pp1/4p3/4n3/8/2B3K1/4r3 w - - 2 44,-265
8/2R2p1k/5Pp1/4p1n1/8/1B6/4r1K1/8 w - - 6 46,-11
5R2/8/5Pp1/4p1k1/8/8/4r3/6K1 b - - 2 49,-327
2R5/5p1k/5Pp1/4p3/4n3/8/2B3K1/2r5 b - - 1 43,-280
8/5R2/5Pp1/4p1k1/8/8/4r3/6K1 w - - 1 49,-397
5R2/8/5Pp1/4pk2/8/8/4r3/6K1 w - - 3 50,-431
7k/5ppP/8/2n1pP2/4b3/2R5/2B2N1K/2r5 w - - 0 40,-367
8/2R2p1k/5Pp1/4p3/4n3/8/2B3K1/4r3 b - - 3 44,-268
5R2/4kP2/6p1/4p3/4r3/8/6K1/8 w - - 1 53,-363
5R2/8/5Pp1/4pk2/4r3/8/8/5K2 w - - 5 51,-444
5R2/8/5Pp1/4pk2/4r3/8/6K1/8 b - - 6 51,-424
2b1r1k1/5ppn/8/2n1pPP1/1q2P3/2p5/1PB2N2/2BQR1K1 w - - 1 31,201
8/5k2/R5p1/4p3/6r1/8/6K1/8 w - - 2 55,-411
5R2/8/4kPp1/4p3/4r3/8/6K1/8 w - - 7 52,-452
5R2/8/5Pp1/4pk2/8/8/4r3/5K2 b - - 4 50,-463
8/2R2p1k/5Pp1/4p1n1/8/1B6/6K1/4r3 b - - 5 45,-281
8/2R2p2/5Ppk/4p1n1/8/1B6/4r3/6K1 w - - 8 47,-269
8/5R2/5Ppk/4p3/8/8/4r3/6K1 b - - 0 48,-451
8/2R2p1k/5Pp1/4p1n1/8/8/2B3K1/4r3 w - - 4 45,-271
R7/4kP2/6p1/4p3/4r3/8/6K1/8 b - - 2 53,-420
8/5k2/5rp1/4p3/8/6K1/8/R7 b - - 7 57,-450
8/5k2/R5p1/4p3/6r1/5K2/8/8 b - - 3 55,-461
8/8/4k1p1/R3p1K1/8/8/8/3r4 w - - 14 61,-434
8/8/4k1p1/4p1K1/3r4/8/8/R7 w - - 12 60,-1
8/8/4k3/R3p2K/8/8/8/6r1 b - - 2 62,-475
8/5k2/R5p1/4p3/5r2/5K2/8/8 w - - 4 56,-466
8/5k2/R5p1/4p3/4r3/8/6K1/8 b - - 1 54,-462
8/8/8/R3p3/5k1K/8/8/6r1 w - - 5 64,-477
R7/5k2/6p1/4p3/4r3/8/6K1/8 w - - 0 54,-442
5R2/5P2/4k1p1/4p3/4r3/8/6K1/8 b - - 0 52,-419
8/8/4krp1/4p3/8/6K1/8/R7 w - - 8 58,-477
8/8/4krp1/4p3/6K1/8/8/R7 b - - 9 58,-456
8/8/8/R3pk1K/8/8/8/6r1 w - - 3 63,-677
8/8/4k1p1/R3p1K1/3r4/8/8/8 b - - 13 60,-461
8/8/4k1p1/4p1K1/5r2/8/8/R7 b - - 11 59,-470
8/8/4k1p1/4p3/5rK1/8/8/R7 w - - 10 59,-478
8/5k2/R5p1/4p3/5r2/6K1/8/8 b - - 5 56,-439
8/5k2/R4rp1/4p3/8/6K1/8/8 w - - 6 57,-459
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R b KQkq - 0 7,-5
8/8/4k1K1/R3p3/8/8/8/6r1 w - - 1 62,-1070
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 2 6,22
r1bqkb1r/p2n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 1 8,17
r1bqkb1r/pp1n1ppp/2p1pn2/8/2pP4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 0 7,0
r1bqkb1r/p2n1ppp/2p1pn2/1p6/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq - 0 8,28
8/8/8/R7/4pk2/8/7K/6r1 b - - 1 65,-8115
8/8/8/R3pk2/7K/8/8/6r1 b - - 4 63,-4056
6r1/8/8/R7/4pk2/8/7K/8 w - - 2 66,-7067
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQ1RK1 b kq - 3 9,0
8/8/4k1K1/R3p3/8/8/8/3r4 b - - 0 61,-2618
r3kn1r/1bq3pp/p2bpn2/1pp3N1/4P3/2N5/PPB2PPP/R1BQ1RK1 w kq - 2 15,0
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq - 0 11,0
r3kb1r/1bqn1ppp/p3pn2/1ppP4/4P3/2N2N2/PPB2PPP/R1BQ1RK1 b kq - 2 12,-30
2kr1n1r/1bq3pp/p2bpn2/1pp3N1/4PP2/2N5/PPB3PP/R1BQ1RK1 w - - 1 16,0
r3k2r/1bqn1ppp/p2bPn2/1pp5/4P3/2N2N2/PPB2PPP/R1BQ1RK1 b kq - 0 13,0
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 0 10,1
8/8/8/R7/4pk2/7K/8/6r1 w - - 0 65,-8115
2kr1n1r/1bq3p1/p2bpn1p/1pp5/4PP2/2N2N2/PPB1Q1PP/R1B2RK1 b - - 1 17,0
2kr1n1r/1bq3p1/p3pn1p/1pp5/4Pb2/2N2N2/PPB1Q1PP/R1B2RK1 w - - 0 18,0
2kr1n1r/1bq3pp/p2bpn2/1pp3N1/4PP2/2N5/PPB1Q1PP/R1B2RK1 b - - 2 16,0
r3kn1r/1bq3pp/p2bpn2/1pp3N1/4PP2/2N5/PPB3PP/R1BQ1RK1 b kq - 0 15,0
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq - 2 9,21
2kr1n1r/1bq3p1/p2bpn1p/1pp3N1/4PP2/2N5/PPB1Q1PP/R1B2RK1 w - - 0 17,0
r3k2r/1bqn2pp/p2bpn2/1pp5/4P3/2N2N2/PPB2PPP/R1BQ1RK1 w kq - 0 14,0
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQ1RK1 w kq - 0 10,13
r3k2r/1bqn1ppp/p2bpn2/1ppP4/4P3/2N2N2/PPB2PPP/R1BQ1RK1 w kq - 3 13,0
r3k2r/1bqn2pp/p2bpn2/1pp3N1/4P3/2N5/PPB2PPP/R1BQ1RK1 b kq - 1 14,12
3r1n1r/4k1p1/Q3pn1p/1pp1q3/8/2N1B3/PPB3Pb/R4R1K w - - 4 24,0
3r1n1r/4k1p1/Q3pn1p/1pp1q3/8/2N1BR2/PPB3Pb/R6K b - - 5 24,0
3r1n1r/2q1k1p1/Q3pn1p/1pp5/8/2N5/PPB3Pb/R1B2R1K w - - 2 23,0
3r1n1r/2q1k1p1/Q3pn1p/1pp5/8/2N1B3/PPB3Pb/R4R1K b - - 3 23,0
8/8/8/R3p3/5k2/7K/8/6r1 b - - 6 64,-5442
2kr1n1r/1bq3p1/p3pn1p/1pp1P3/5b2/2N2N2/PPB1Q1PP/R1B2RK1 b - - 0 18,0
r3kb1r/1bqn1ppp/p3pn2/1ppP4/4P3/2NB1N2/PP3PPP/R1BQ1RK1 w kq - 1 12,2
Q1kr1n1r/2q3p1/p3pn1p/1pp1b3/8/2N5/PPB3PP/R1B2RK1 b - - 1 20,-26
r2qkb1r/1b1n1ppp/p3pn2/1ppP4/4P3/2NB1N2/PP3PPP/R1BQ1RK1 b kq - 0 11,6
1r5r/3nk1p1/3qpn1p/1Qp5/8/2N1BR2/PPB3Pb/4R2K w - - 1 27,0
1r5r/3nk1p1/3qpn1p/2p5/8/2N1BRb1/PPB1Q1P1/4R2K w - - 3 28,0
3r3r/3nk1p1/3qpn1p/1Qp5/8/2N1BR2/PPB3Pb/4R2K b - - 0 26,0
1r5r/3nk1p1/3qpn1p/2p5/8/2N1BRb1/PPB1Q1P1/3R3K b - - 4 28,0
3r1n1r/2qk2p1/Q3pn1p/1pp5/8/2N5/PPB3Pb/R1B2R1K b - - 1 22,-29
1r5r/3nk1p1/3qpn1p/2p5/8/2N1BR2/PPB1Q1Pb/4R2K b - - 2 27,0
2kr1n1r/2q3p1/p3pn1p/1pp1P3/5b2/2N2b2/PPB1Q1PP/R1B2RK1 w - - 0 19,-5
3r3r/3nk1p1/Q2qpn1p/1pp5/8/2N1BR2/PPB3Pb/4R2K w - - 8 26,25
7r/3nk1p1/4qn1p/2p5/1r6/2N1BRb1/PP2Q1P1/3R3K w - - 0 31,0
3r3r/3nk1p1/Q3pn1p/1pp1q3/8/2N1BR2/PPB3Pb/4R2K b - - 7 25,-24
1r5r/3nk1p1/4pn1p/2p1q3/8/1BN1BRb1/PP2Q1P1/3R3K b - - 6 29,0
7r/3n1kp1/4qn1p/2p5/6r1/2N1B1R1/PPQ3P1/3R3K w - - 3 33,0
7r/3n1kp1/4q2p/2p5/6n1/2N1B3/PPQ3P1/3R3K w - - 0 34,0
7r/3nk1p1/4pn1p/2p1q3/1r6/1BN1BRb1/PP2Q1P1/3R3K w - - 7 30,-10
Q2r1n1r/2qk2p1/p3pn1p/1pp1b3/8/2N5/PPB3PP/R1B2RK1 w - - 2 21,-25
7r/3n1kp1/4qn1p/2p5/6R1/2N1B3/PPQ3P1/3R3K b - - 0 33,0
7r/3nk1p1/4qn1p/2p5/1r6/2N1B1R1/PP2Q1P1/3R3K b - - 0 31,0
3r1n1r/2qk2p1/Q3pn1p/1pp1b3/8/2N5/PPB3PP/R1B2RK1 b - - 0 21,-4
1r5r/3nk1p1/4pn1p/2p1q3/8/2N1BRb1/PPB1Q1P1/3R3K w - - 5 29,0
7r/3nk1p1/4Bn1p/2p1q3/1r6/2N1BRb1/PP2Q1P1/3R3K b - - 0 30,3
7r/3n1kp1/4Q2p/2p5/8/2N1n3/PP4P1/3R3K b - - 0 35,-14
7r/3n1kp1/4q2p/2p5/4Q1n1/2N1B3/PP4P1/3R3K b - - 1 34,-17
7r/3n1kp1/4qn1p/2p5/1r6/2N1B1R1/PP2Q1P1/3R3K w - - 1 32,0
7r/3n1kp1/4qn1p/2p5/1r6/2N1B1R1/PPQ3P1/3R3K b - - 2 32,9
7r/3n1kp1/4q2p/2p5/4Q3/2N1n3/PP4P1/3R3K w - - 0 35,-11
2kr1n1r/2q3p1/p3pn1p/1pp1b3/8/2N2Q2/PPB3PP/R1B2RK1 w - - 0 20,-6
7r/3n2p1/4k2p/2p5/8/2N1n3/PP4P1/3R3K w - - 0 36,-22
3r3r/3nk1p1/Q3pn1p/1pp1q3/8/2N1BR2/PPB3Pb/R6K w - - 6 25,31
2kr1n1r/2q3p1/p3pn1p/1pp1P3/5b2/2N2Q2/PPB3PP/R1B2RK1 b - - 0 19,-8
7r/3n2p1/4k2p/2p5/8/2N1n3/PP4P1/4R2K b - - 1 36,-8
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq - 1 6,30
3r1n1r/2qk2p1/Q3pn1p/1pp5/8/2N5/PPB3Pb/R1B2RK1 w - - 0 22,-13
r3kb1r/pp1qpppp/2n2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR w KQkq - 5 8,40
r1bqkbnr/pp2pppp/2n5/3p4/3P4/3B4/PPP2PPP/RNBQK1NR w KQkq - 2 5,20
rnbqkbnr/pp2pppp/8/3p4/3P4/3B4/PPP2PPP/RNBQK1NR b KQkq - 1 4,23
r3kb1r/pp1qpppp/2n2n2/3p4/3P1Bb1/1QPB4/PP1N1PPP/R3K1NR b KQkq - 6 8,5
r3kb1r/pp1q1ppp/2n1pn2/3p4/3P1Bb1/1QPB4/PP1N1PPP/R3K1NR w KQkq - 0 9,22
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/2PB4/PP3PPP/RN1QK1NR w KQkq - 3 7,17
r3kb1r/pp1q1ppp/2n1pn2/3p4/3P1B2/1QPB1b2/PP1N1PPP/R3K2R w KQkq - 0 10,35
r3kb1r/pp1q1ppp/2n1pn2/3p4/3P1B2/1QPB1N2/PP3PPP/R3K2R b KQkq - 0 10,22
r3k2r/pQ3ppp/2nqpn2/3p4/3P4/2PB1N2/PP3PPP/R3K2R b KQkq - 0 12,0
r3kb1r/pp1q1ppp/2n1pn2/3p4/3P1Bb1/1QPB1N2/PP1N1PPP/R3K2R b KQkq - 1 9,11
r1bqkbnr/pp2pppp/2n5/3p4/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq - 0 5,16
1r2k2r/pQ3ppp/2nqpn2/3p4/3P4/2PB1N2/PP3PPP/R3K2R w KQk - 1 13,-9
5rk1/p4ppp/Qrnqpn2/1B1p4/3P4/2P2N2/PP3PPP/R3K2R w KQ - 5 15,-12
r3k2r/pp1q1ppp/2nBpn2/3p4/3P4/1QPB1N2/PP3PPP/R3K2R b KQkq - 0 11,35
1r3rk1/p4ppp/Q1nqpn2/3p4/3P4/2PB1N2/PP3PPP/R3K2R w KQ - 3 14,-17
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR b KQkq - 2 6,8
r3k2r/pp3ppp/2nqpn2/3p4/3P4/1QPB1N2/PP3PPP/R3K2R w KQkq - 0 12,20
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/1QPB4/PP3PPP/RN2K1NR b KQkq - 4 7,19
5rk1/p4ppp/1rnqpn2/1B1p4/Q2P4/2P2N2/PP3PPP/R3K2R b KQ - 6 15,-5
1r2k2r/p4ppp/Q1nqpn2/3p4/3P4/2PB1N2/PP3PPP/R3K2R b KQk - 2 13,-6
5rk1/p3nppp/1r1qpn2/1B1p4/Q2P4/2P2N2/PP3PPP/R3K2R w KQ - 7 16,-3
1r3rk1/p4ppp/Q1nqpn2/1B1p4/3P4/2P2N2/PP3PPP/R3K2R b KQ - 4 14,-16
r3k2r/pp1q1ppp/2nbpn2/3p4/3P1B2/1QPB1N2/PP3PPP/R3K2R w KQkq - 1 11,47
2r3k1/p3nppp/1r1qp3/3p4/Q2Pn3/1PPB1N2/P4PPP/2R1K2R b K - 4 18,-36
2r3k1/p3nppp/1r1qp3/1B1p4/Q2Pn3/1PP2N2/P4PPP/2R1K2R w K - 3 18,-22
5rk1/p3nppp/1r1qp3/1B1p4/Q2Pn3/1PP2N2/P4PPP/2R1K2R b K - 2 17,-20
5rk1/p3nppp/1r1qpn2/1B1p4/Q2P4/1PP2N2/P4PPP/R3K2R b KQ - 0 16,-9
2r3k1/p4ppp/1r1qp1n1/3pN3/Q2Pn3/1PPB4/P4PPP/2R1K2R b K - 6 19,-37
2r3k1/p4ppp/1r2p1n1/2Ppq3/Q7/1PPB4/P4PPP/2R1K2R w K - 0 21,-22
2r3k1/p4ppp/1r1qp1n1/2npN3/Q2P4/1PPB4/P4PPP/2R1K2R w K - 7 20,-29
2r3k1/p4ppp/1r1qp1n1/3p4/Q2Pn3/1PPB1N2/P4PPP/2R1K2R w K - 5 19,-21
5rk1/p3nppp/1r1qp3/1B1p4/Q2Pn3/1PP2N2/P4PPP/R3K2R w KQ - 1 17,-40
2r3k1/p4ppp/1r1qp1n1/2PpN3/Q7/1PPB4/P4PPP/2R1K2R b K - 0 20,-26
2r3k1/p4ppp/1r2p1n1/2Ppq3/Q7/1PPB4/P2K1PPP/2R4R b - - 1 21,-25
1q4k1/p4ppp/1r2p1n1/2rp4/Q4P2/1PPB2P1/P2K3P/2R4R b - - 0 23,-52
1q4k1/p4ppp/1r2p1n1/2rp4/Q7/1PPB2P1/P2K1P1P/2R4R w - - 1 23,-48
6k1/p4ppp/1r2p1n1/2rpq3/Q7/1PPB4/P2K1PPP/2R4R w - - 0 22,-29
1qr3k1/p3nppp/1r2p3/3p4/Q4P1P/1PPB2P1/P2K4/2R4R w - - 1 25,-84
6k1/p4ppp/1r2p1n1/2rpq3/Q7/1PPB2P1/P2K1P1P/2R4R b - - 0 22,-55
1q4k1/p3nppp/1r2p3/2rp4/Q4P2/1PPB2P1/P2K3P/2R4R w - - 1 24,-55
1qr3k1/p4pp1/1rn1p2p/3p3P/Q4P2/1PPB2P1/P1R5/2K4R b - - 3 27,-8
1qr3k1/p3npp1/1r2p2p/3p3P/Q4P2/1PPB2P1/P1RK4/7R b - - 1 26,-133
1qr3k1/p4pp1/1rn1p2p/3p3P/Q4P2/1PPB2P1/P1RK4/7R w - - 2 27,-35
1qr3k1/p3nppp/1r2p3/3p3P/Q4P2/1PPB2P1/P2K4/2R4R b - - 0 25,-48
1qr3k1/p4pp1/1rn4p/3p3P/Q3pP2/1PPB2P1/P1R5/2KR4 w - - 0 29,-88
3r2k1/p4pp1/1rn2q1p/3p3P/4pP2/QPP3P1/P1R1B3/1K1R4 b - - 7 32,-260
1qr3k1/p4pp1/1rn4p/3pp2P/Q4P2/1PPB2P1/P1R5/2KR4 b - - 1 28,-82
1qr3k1/p4pp1/1rn4p/3pp2P/Q4P2/1PPB2P1/P1R5/2K4R w - - 0 28,28
3r2k1/p4pp1/1r3q1p/7P/3npP2/QP4P1/P1R1B3/1K1R4 w - - 0 34,-307
3r2k1/p4pp1/1rn2q1p/7P/3ppP2/QPP3P1/P1R1B3/1K1R4 w - - 0 33,-299
1qr3k1/p4pp1/Brn4p/3p3P/Q3pP2/1PP3P1/P1R5/2KR4 b - - 1 29,-81
1q1r2k1/p4pp1/1rn4p/3p3P/Q3pP2/1PP3P1/P1R1B3/2KR4 b - - 3 30,-92
1q1r2k1/p4pp1/Brn4p/3p3P/Q3pP2/1PP3P1/P1R5/2KR4 w - - 2 30,-81
3r2k1/p4pp1/1r3q1p/7P/3npP2/QP4P1/P2RB3/1K1R4 b - - 1 34,-254
1qr3k1/p3npp1/1r2p2p/3p3P/Q4P2/1PPB2P1/P2K4/2R4R w - - 0 26,-59
1q4k1/p3nppp/1r2p3/2rp4/Q4P1P/1PPB2P1/P2K4/2R4R b - - 0 24,-82
3r2k1/p4pp1/1rnq3p/3p3P/Q3pP2/1PP3P1/P1R1B3/1K1R4 b - - 5 31,-81
3r4/5ppk/3r1q1p/p1Q4P/3n1PB1/1P1Rp1P1/P7/1K1R4 b - - 1 38,-280
3r4/p4ppk/3r1q1p/7P/1Q1n1PB1/1P2p1P1/P2R4/1K1R4 w - - 0 37,-62
3r2k1/p4pp1/1rnq3p/3p3P/Q3pP2/1PP3P1/P1R1B3/2KR4 w - - 4 31,-80
3r2k1/p4pp1/1rn2q1p/3p3P/Q3pP2/1PP3P1/P1R1B3/1K1R4 w - - 6 32,-84
3r4/5ppk/3r1q1p/p6P/1Q1n1PB1/1P1Rp1P1/P7/1K1R4 w - - 0 38,-32
3r2k1/p4pp1/3r1q1p/7P/1Q1npP2/1P4P1/P2RB3/1K1R4 b - - 3 35,-339
3r4/p4ppk/3r1q1p/7P/1Q1n1PB1/1P1Rp1P1/P7/1K1R4 b - - 1 37,-36
3r4/5ppk/5q1p/p1Qr3P/3n1PB1/1P1Rp1P1/P7/1K1R4 w - - 2 39,-318
3r4/p4ppk/3r1q1p/7P/1Q1npP2/1P4P1/P2RB3/1K1R4 w - - 4 36,-267
3r4/p4ppk/3r1q1p/7P/1Q1npPB1/1P4P1/P2R4/1K1R4 b - - 5 36,-283
3r2k1/p4pp1/1rn2q1p/7P/3PpP2/QP4P1/P1R1B3/1K1R4 b - - 0 33,-352
3r2k1/p4pp1/3r1q1p/7P/3npP2/QP4P1/P2RB3/1K1R4 w - - 2 35,-314
3R4/5ppk/5q1p/pr5P/5PB1/1P2p1P1/P7/1K1R4 b - - 0 41,-450
1r6/3Rqppk/7p/7P/p4P2/1P2p1P1/P3B3/1K1R4 b - - 5 44,-623
1r6/3R1ppk/7p/7P/p4P2/qP1Bp1P1/P7/1K1R4 b - - 7 45,-684
1r6/4qppk/3R3p/7P/p4P2/1P2p1P1/P3B3/1K1R4 w - - 4 44,-447
1r6/3R1ppk/7p/7P/p4P2/qP2p1P1/P3B3/1K1R4 w - - 6 45,-612
8/4qppk/3R3p/1r5P/p4P2/1P2p1P1/P3B3/1K1R4 b - - 3 43,-432
3R4/5ppk/5q1p/1r5P/p4PB1/1P2p1P1/P7/1K1R4 w - - 0 42,-456
8/4qppk/3R3p/1r5P/p4PB1/1P2p1P1/P7/1K1R4 w - - 2 43,-424
1r3k2/3R1Bp1/7p/7P/5P2/qp2p1P1/P7/1K1R4 w - - 1 48,-756
3r4/5ppk/5q1p/pn1r3P/2Q2PB1/1P1Rp1P1/P7/1K1R4 w - - 4 40,-448
1r4k1/3R1pp1/7p/7P/p1B2P2/qP2p1P1/P7/1K1R4 b - - 9 46,-738
1r4k1/3R1pp1/7p/7P/p4P2/qP1Bp1P1/P7/1K1R4 w - - 8 46,-686
1r4k1/3R1Bp1/7p/7P/5P2/qp2p1P1/P7/1K1R4 b - - 0 47,-755
1r4k1/3R1pp1/7p/7P/2B2P2/qp2p1P1/P7/1K1R4 w - - 0 47,-738
1r3k2/3R2p1/7p/7P/5P2/qB4P1/P3p3/1K1R4 w - - 0 49,-1002
rnb1k2r/pp2nppp/4p3/3pP3/q2P3P/P1P5/3B1PP1/R2QKBNR b KQkq - 0 10,40
rnb1k2r/pp2nppp/4p3/q2pP3/3P3P/P7/2PB1PP1/R2QKBNR b KQkq - 0 9,62
rnb1k2r/pp2nppp/4p3/3pP3/3P3P/P1P5/3B1PP1/R2qKBNR w KQkq - 0 11,47
r1b1k2r/pp2nppp/2n1p3/3pP3/3P3P/P1P5/3B1PP1/3RKBNR w Kkq - 1 12,67
rnb1k2r/pp2nppp/4p3/q1ppP3/3P3P/P1P5/2P2PP1/R1BQKBNR w KQkq - 1 8,57
rnbqk2r/pp2nppp/4p3/2ppP3/3P3P/P1P5/2P2PP1/R1BQKBNR b KQkq - 0 7,50
rnb1k2r/pp2nppp/4p3/q1ppP3/3P3P/P1P5/2PB1PP1/R2QKBNR b KQkq - 2 8,51
rnb1k2r/pp2nppp/4p3/3pP3/q2P3P/P7/2PB1PP1/R2QKBNR w KQkq - 1 10,63
r1b1k2r/pp2nppp/2n1p3/3pP2P/3P4/P1P5/3B1PP1/3RKBNR b Kkq - 0 12,63
1r3k2/3R2p1/7p/7P/5P2/qB2p1P1/P7/1K1R4 b - - 0 48,-964
r1b1k2r/pp2npp1/2n1p2p/3pP2P/3P4/P1P5/3B1PP1/3RKBNR w Kkq - 0 13,74
r3k2r/p2bnpp1/1p2p2p/n2pP2P/3P2P1/P1PB4/3BNP2/1R2K2R b Kkq - 0 16,59
rnb1k2r/pp2nppp/4p3/3pP3/3P3P/P1P5/3B1PP1/3RKBNR b Kkq - 0 11,52
rnb1k2r/pp2nppp/4p3/q2pP3/3p3P/P1P5/2PB1PP1/R2QKBNR w KQkq - 0 9,55
r3k2r/pp1bnpp1/4p2p/n2pP2P/3P4/P1PB4/3BNPP1/1R2K2R b Kkq - 5 15,69
r1b1k2r/pp2npp1/2n1p2p/3pP2P/3P4/P1PB4/3B1PP1/3RK1NR b Kkq - 1 13,68
3r4/5ppk/5q1p/pr5P/5PB1/1P1Rp1P1/P7/1K1R4 w - - 0 41,-447
r3k2r/pp1bnpp1/4p2p/n2pP2P/3P4/P1PB4/3BNPP1/3RK2R w Kkq - 4 15,68
r3k2r/pp1bnpp1/2n1p2p/3pP2P/3P4/P1PB4/3B1PP1/3RK1NR w Kkq - 2 14,65
r3k2r/pp1bnpp1/2n1p2p/3pP2P/3P4/P1PB4/3BNPP1/3RK2R b Kkq - 3 14,59
r3k2r/p2bnpp1/1p2p2p/n2pP2P/3P4/P1PB4/3BNPP1/1R2K2R w Kkq - 0 16,67
r3k2r/p2bnpp1/1p2p2p/3pP2P/2nP2P1/P1PB4/3BNP2/1R2K2R w Kkq - 1 17,51
